timestep,episode,episode_reward,episode_length,wall_time,policy_loss,value_loss,entropy,approx_kl
41212,591,6.086,128,128.67,,,,
41342,592,6.051,130,128.94,,,,
41473,593,6.128,131,129.2,,,,
41609,594,6.792,136,129.48,,,,
41732,595,5.599,123,129.71,,,,
41868,596,5.995,136,129.95,,,,
41993,597,6.066,125,130.19,,,,
42124,598,6.079,131,130.5,,,,
42258,599,6.125,134,130.73,,,,
42389,600,5.775,131,130.96,,,,
42523,601,6.109,134,131.27,,,,
42650,602,6.013,127,131.48,,,,
42782,603,6.164,132,131.78,,,,
42909,604,5.999,127,132.02,,,,
43036,605,5.84,127,134.91,,,,
43160,606,5.737,124,135.16,,,,
43292,607,5.96,132,135.38,,,,
43427,608,6.62,135,135.69,,,,
43556,609,6.051,129,135.99,,,,
43686,610,5.877,130,136.28,,,,
43820,611,6.084,134,136.5,,,,
43955,612,6.627,135,136.73,,,,
44088,613,6.189,133,136.97,,,,
44218,614,5.795,130,137.21,,,,
44353,615,6.271,135,137.43,,,,
44481,616,5.87,128,137.78,,,,
44615,617,6.167,134,138.02,,,,
44755,618,6.427,140,138.3,,,,
44890,619,6.732,135,138.52,,,,
45025,620,5.787,135,138.75,,,,
45155,621,5.857,130,141.62,,,,
45290,622,6.531,135,141.87,,,,
45426,623,6.27,136,142.16,,,,
45561,624,6.437,135,142.48,,,,
45700,625,6.316,139,142.8,,,,
45836,626,6.123,136,143.04,,,,
45966,627,5.985,130,143.41,,,,
46097,628,5.909,131,143.67,,,,
46230,629,6.168,133,143.92,,,,
46356,630,5.839,126,144.16,,,,
46487,631,6.424,131,144.37,,,,
46616,632,5.816,129,144.58,,,,
46749,633,6.71,133,144.83,,,,
46813,634,2.233,64,144.95,,,,
46946,635,5.749,133,145.17,,,,
47077,636,5.897,131,145.4,,,,
47212,637,6.313,135,147.64,,,,
47342,638,5.798,130,147.86,,,,
47473,639,5.621,131,148.11,,,,
47611,640,6.043,138,148.36,,,,
47751,641,6.311,140,148.63,,,,
47892,642,6.167,141,148.88,,,,
48027,643,6.316,135,149.13,,,,
48159,644,5.988,132,149.37,,,,
48308,645,7.24,149,149.62,,,,
48399,646,3.545,91,149.78,,,,
48531,647,5.624,132,150.0,,,,
48666,648,6.343,135,150.24,,,,
48800,649,5.98,134,150.48,,,,
48941,650,6.635,141,150.72,,,,
49082,651,6.492,141,150.97,,,,
49215,652,6.331,133,153.27,,,,
49343,653,5.984,128,153.5,,,,
49478,654,6.405,135,153.74,,,,
49618,655,6.506,140,154.01,,,,
49758,656,6.818,140,154.27,,,,
49893,657,6.139,135,154.53,,,,
49984,658,3.389,91,154.7,,,,
50080,659,3.745,96,156.03,,,,
50214,660,6.338,134,156.27,,,,
50349,661,5.873,135,156.53,,,,
50480,662,5.699,131,156.79,,,,
50614,663,6.017,134,157.05,,,,
50756,664,6.684,142,157.31,,,,
50897,665,6.775,141,157.57,,,,
51043,666,6.609,146,157.82,,,,
51174,667,6.214,131,158.05,,,,
51316,668,6.945,142,160.5,,,,
51448,669,6.248,132,160.72,,,,
51591,670,6.697,143,160.99,,,,
51725,671,6.099,134,161.25,,,,
51863,672,6.597,138,161.51,,,,
52006,673,6.877,143,161.77,,,,
52140,674,5.839,134,162.0,,,,
52272,675,6.159,132,162.22,,,,
52405,676,6.165,133,162.45,,,,
52532,677,5.916,127,162.66,,,,
52668,678,5.997,136,162.9,,,,
52801,679,5.767,133,163.13,,,,
52936,680,6.242,135,163.37,,,,
53075,681,6.266,139,163.61,,,,
53207,682,6.129,132,163.83,,,,
53306,683,4.01,99,166.33,,,,
53448,684,7.009,142,166.58,,,,
53579,685,5.651,131,166.82,,,,
53718,686,6.351,139,167.09,,,,
53855,687,6.476,137,167.36,,,,
53989,688,6.063,134,167.62,,,,
54133,689,6.493,144,167.87,,,,
54271,690,6.88,138,168.1,,,,
54349,691,2.837,78,168.24,,,,
54487,692,6.502,138,168.47,,,,
54618,693,6.189,131,168.72,,,,
